ID,TITULO,SUBTITULO,AUTOR,EDITORA,EDICAO,ANO,N_PAGINAS,LIDO,IDIOMA
232,O inconsciente e sua influência na relação conjugal,,Sandra Santos,Livro Rápido,1,2014,88,S,POR
233,Deus está aqui,,Max Lucado,Mundo Cristão,1,2013,185,N,POR
234,Os Dez mandamentos,Princípios divinos para melhorar seus relacionamentos,Loron Wade,Casa Publicadora Brasileira,2,2013,95,N,POR
235,O Deus de toda graça,Piadas cristãs para tirar você do sério,Lúcio Barreto Jr,Editora Basileia,1,2011,64,N,POR
236,Critérios práticos de um líder de célula,O passo a passo para se tornar um líder de célula bem-sucedido,Elvis Oliveira,Premius Editora,1,2010,72,S,POR
238,Faça Guerra,Treinando os loucos por Jesus no exército de Deus,Lúcio Barreto Jr & Richarde Guerra,Editora Basileia,1,2013,108,S,POR
239,Em seus passos o que faria Jesus?,Versão resumida e moderna,Charles M. Sheldon,,1,2007,92,N,POR
240,Provas da sua conversão,,Lúcio Barreto Jr,,1,2014,52,S,POR
241,Loucos por Jesus Volume 2,Cristãos que marcaram o mundo,Lúcio Barreto Jr,Editora Basileia,1,2006,128,S,POR
244,Os Maias (*),Coleção Grandes Obras,Eça de Queirós,Editora Escala,,,253,N,POR
245,Guia Turístico de Belo Horizonte,,,Belotur,,2012,160,N,POR/ESP_ING
246,Guia Quatro Rodas Minas Gerais,"Belo Horizonte, Ouro Preto, Tiradentes, Serra do Cipó",,Editora Abril,,2012,178,N,POR
248,Nova Bíblia Viva,,,Mundo Cristão,1,2010,1040,S,POR
249,Bíblia Sagrada,Nova Tradução na Linguagem de Hoje,,Sociedade Bíblica Brasileira,,2003,864,N,POR
252,Guia Quatro Rodas Brasil 2011,,,Abril,,2011,950,N,POR
253,Steps Basic Dictionary,,Victoria Keller,IBEP,,,253,N,ING/POR
254,Direito Administrativo,"Teoria, Jurisprudência e 1000 Questões",Elias Freire,Campus,6,2006,624,N,POR
255,História Moderna e Contemporânea,,Alceu Luiz Pazzinato & Maria Helena Valente Senise,Ática,8,1995,420,N,POR
257,First Certificate Gold coursebook,,Richard Acklam with Sally Burgess,Longman,,2000,208,N,ING
258,Wizard University,Speech W8,,,,,142,S,ING
259,Wizard University,Graduation W10,,,,,150,S,ING
260,Wizard University,Book 5,,,,,,S,ING
261,Wizard University,Book 6,,,,,,S,ING
262,Wizard University,Certification W12,,,,,231,S,ING
263,Você está preparado?,,Billy Graham,MC,,,254,S,POR
264,História da Igreja Cristã,,Jesse Lyman Hurlbut,Vida Acadêmica,,,303,S,POR
265,"Bom dia, Espírito Santo",A busca por um relacionamento profundo com o Pai e o Filho,Benny Hinn,Thomas Nelson Brasil,,,240,N,POR
266,Jesus está ao seu lado,Aprenda a desfrutar da presença de Deus,Sarah Young,MC,,,224,N,POR
267,Escolha o Amor,E mude o curso de sua vida,Stormie Omartian,MC,,,298,N,POR
268,Deus é Vermelho,A história secreta de como o cristianismo sobreviveu e floresceu na China comunista,Liao Yiwu,MC,,,229,S,POR
269,O fim da memória,Interronpendo o ciclo destrutivo das lembranças dolorosas,Miroslav Volf,MC,,,255,N,POR
270,Deus não está morto 2,Argumentos e respostas para as principais questões sobre o filho de Deus,Rice Broocks,Thomas Nelson Brasil,,,254,N,POR
271,Servos de Deus,Espiritualidade e teologia na história da igreja,Franklin Ferreira,Fiel Editora,,,474,N,POR
272,O Poder Verdadeiro,Manual prático para reconstrução emocional,Paulo Vieira,Premius Editora,2,2015,280,N,POR
273,Laranja mecânica,,Anthony Burgess,Editora Aleph,18,2014,200,N,POR
275,Iniciação musical,Bases epistemológicas dos doze centros tonais,Nilton Pereira da Cunha,Editora Universidade UFPE,2,2009,121,N,POR
276,O futuro da Humanidade,,Augusto Cury,Arqueiro,,2005,255,N,POR
278,Compreendendo o caráter de Deus,,Janio Cesar,Orvalho.com,2,2016,167,N,POR
279,Sete coisas que roubam sua alegria,,Joyce Meyer,Bello  Publicações,1,2016,236,S,POR
280,Amor - o Caminho para a vitória,,Kenneth E. Hagin,Graça Editorial,,2010,296,S,POR
281,Princípios para ser bem-sucedido,,Janio Cesar,Adhonep,1,2018,70,S,POR
282,Marcados pelo sangue,,Janio Cesar,Orvalho.com,2,2018,80,S,POR
283,Delmiro Gouveia,Desenvolvimento com impulso de preservação ambiental,Frederico Pernambuco de Mello,Massangana,2,1998,104,S,POR
284,A ponte invisível,,Julie Orringer,Companhia das Letras,,2012,725,N,POR
285,Fator de enriquecimento,Uma fórmula simples e poderosa que vai te enriquecer e fazer você atingir seus objetivos,Paulo Vieira,Gente Editora,,2016,264,N,POR
286,"Eu, líder eficaz",,Paulo Vieira,JCS Editora,7,2008,132,N,POR
287,O poder da ação,,Paulo Vieira,Gente Editora,,2015,255,N,POR
288,Bíblia de Estudo do Expositor,,Jimmy Swaggart,Ministério Jimmy Swaggart,,2015,2452,N,POR
289,Em busca de Timóteo,,Tony Cooke,Rhema Brasil,1,2014,326,S,POR
290,Mantendo o coração puro,,Fernandes Oliveira,Babecco,1,2017,82,S,POR
292,Rhema 1B (Gleyci),,,,,,,N,POR
293,Rhema 2B (Gleyci),,,,,,,N,POR
294,Olga,"A vida de Olga Benario Prestes, judia comunista entregue a Hitler pelo Governo Vargas.",Fernando Morais,Companhia das Letras,,,,N,POR
295,70 x 7,Compreendendo as Escrituras,Assuero Seixas,,,,,S,POR
298,Construindo o céu em casa,,Josué Gonçalves,Thomas Nelson Brasil,,2013,160,S,POR
299,Tratado de Geriatria e Gerontologia,,,,,,,N,POR
300,A respeito dos dons espirituais,26 Lições sobre o Espírito Santo e seus dons,Kenneth E. Hagin,,,,,S,POR
301,A Arte da intercessão,Manual de Como Intercedor,Kenneth E. Hagin,,,,,S,POR
302,Como obter resposta à sua oração,Entendendo os diferentes tipos de oração e como elas funcionam,Kenneth E. Hagin,,,,,S,POR
303,A grande esperança,Viva com a certeza de que tudo vai terminar bem,Ellen G. White,,1,2011,110,S,POR
304,O poder da esperança,O segredo do bem-estar emocional,,Julián Melgosa e Michelson Borges,,,96,S,POR
305,O Ministério de um profeta,,Kenneth E. Hagin,,,,48,S,POR
306,Segredos da Oração,,Kenneth E. Hagin,,,,52,N,POR
307,A fé real,,Kenneth E. Hagin,,,,46,N,POR
308,Sou de Jesus! E agora?,,Jorge Linhares,,,,60,S,POR
309,Você nunca estará só,,Bud Wright,Coleção Legado Bud Wright,,,54,S,POR
310,Vencedor,O evangelho de João - The gospel of John com testemunhos de grandes atletas,,,,,202,N,POR/ING
311,Pais ausentes...pai Presente!,,Walter Nather Jr.,Willën books,,,230,S,POR
312,Benção e maldição,,Jorge Linhares,Getsêmani,,,52,S,POR
313,Graça: O DNA de Deus,,Tony Cooke,,,,380,N,POR
314,Reconstruindo o destruído,,Jorge Linhares,,,,,S,POR
315,Os vícios e suas consequências,,Jorge Linhares,Getsêmani,,,59,S,POR
316,Ciúmes,,Jorge Linhares,,,,,S,POR
317,Feche a porta! O diabo quer entrar,,Jorge Linhares,,,,,S,POR
318,Quatro maldições que podem ser evitadas,,Jorge Linhares,,,,56,S,POR
319,Rhema 1A,,,,,,,N,POR
320,"Anauá, o segredo da amizade",,,,,,,N,POR
321,Carros,,,Disney Pixar,,,,S,POR
322,"Onze mentiras do Diabo,",,Jorge Linhares,,,,,S,POR
323,Bons Filhos Futuro Garantido,,Jorge Linhares,,,,,S,POR
324,O Lugar de Jesus,Onde Ele deve estar na hora da tempestade?,Jedida Ferro,CCS Gráfica e Editora,,2017,123,S,POR
325,O toque de Midas,Uma abordagem equilibrada para a prosperidade bíblica,Kenneth E. Hagin,Graça Editorial,,2014,240,S,POR
326,Bíblia Sagrada ,Um guia de estudos,,,,,,N,POR
327,Rhema 2A  (Gleyci),,,,,,,N,POR
328,Os Incríveis,Aventuras Disney/Pixar,,,,,,S,POR
329,Clássicos da Bíblia - Milagres de Jesus/Ressurreição de Jesus,,,,,,,N,POR
330,Clássicos da Bíblia - Josué/Gideão,,,,,,,N,POR
331,Clássicos da Bíblia - Abraão/Esaú e Jacó,,,,,,,N,POR
332,Clássicos da Bíblia - A Criação/O Dilúvio,,,,,,,N,POR
333,Clássicos da Bíblia - Davi/Salomão,,,,,,,S,POR
334,Clássicos da Bíblia - Daniel e seus amigos/Jonas,,,,,,,S,POR
335,Clássicos da Bíblia - Nascimento de Jesus/João Batista,,,,,,,N,POR
336,Clássicos da Bíblia - Parábolas de Jesus/Jesus,,,,,,,N,POR
337,Clássicos da Bíblia - Atos dos Apóstolos/Paulo,,,,,,,N,POR
338,Clássicos da Bíblia - José/Moisés,,,,,,,N,POR
339,Livres da Armagura,,Cristiano Arcoverde,,,2018,142,S,POR
340,A Inteligência Saudável,,,Coleção EI,,,,N,POR
341,A beleza da diversidade!!!,,,Coleção EI,,,,N,POR
342,A Inteligência Saudável Parte 2,,,Coleção EI,,,,N,POR
343,A Olimpíada da Inteligência,,,Coleção EI,,,,N,POR
344,A Olimpíada da Inteligência Parte 2,,,Coleção EI,,,,N,POR
345,Ajudar os outros é muito bom!,,,Coleção EI,,,,N,POR
346,Enfrentando o consumismo!!!,,,Coleção EI,,,,N,POR
347,Somos todos especiais!,,,Coleção EI,,,,N,POR
348,Superando o medo!,,,Coleção EI,,,,N,POR
349,Desfrutar do que a vida tem de mais velo é muito bom!,,,Coleção EI,,,,N,POR
350,Aprender é muito bom!,,,Coleção EI,,,,N,POR
351,Como é gostoso aprender!,,,Coleção EI,,,,N,POR
352,As minhas e as suas características!,,,Coleção EI,,,,N,POR
353,Aprendendo a se comunicar!,,,Coleção EI,,,,N,POR
354,Aprendendo a perceber a necessidade do outro!,,,Coleção EI,,,,N,POR
355,Em Família - Desenvolvendo inteligência socioemocional,,,Coleção EI,,,,N,POR
356,Rhema - Material Didático  1B,,,Rhema Brasil Publicações,,2019,,N,POR
357,Rhema - Material Didático 2B,,,Rhema Brasil Publicações,,2019,,N,POR
358,Diga Sim,Experimente uma vida tão plena e profunda que você jamais voltará atrás,Rick Renner,Rhema Brasil Publicações,,,276,N,POR
359,Realidades da nova criação,,E. W. Kenyon,Rhema Brasil Publicações,,,347,S,POR
361,Como andar em Amor,,Kenneth E. Hagin,,,,52,S,POR
362,ZOE: A própria vida de Deus,,Kenneth E. Hagin,,,,86,S,POR
363,"Redimidos - Da miséria, da endermidade e da morte - Kenneth E. Hagin - 47",,Kenneth E. Hagin,,,,47,S,POR
364,Receba a cura por meio da Bíblia - Treze lições sobre a cura divina - Kenneth E. Hagin - 80,,Kenneth E. Hagin,,,,80,S,POR
365,A Cura de Cristo Como recebê-la - Os sete passos para a libertação da endermidade e do pecado -  - 78,,T. L. Osborn,,,,78,S,POR
366,"Jesus, aquele que cura",Multidões foram curadas enquanto liam este livro,E. W. Kenyon,,,,120,S,POR
367,Receba a sua cura,Volume 5,Bud Wright,,,,60,S,POR
368,Curando os enfermos,Um clássico sobre a cura divina para todos,T. L. Osborn,,,,390,N,POR
369,A unção da cura,,Kenneth E. Hagin,,,,240,N,POR
370,Receba a cura,,T. L. Osborn,,,,52,S,POR
371,O poder criativo de Deus para a cura,,Charles Capps,,,,60,S,POR
372,Curso de Estudo Cura Bíblica,,Kenneth E. Hagin,,,,170,N,POR
373,El Espíritu de libertad - libro dos,,,Wizard,,,80,S,ESP
374,Seu nome é amor,,Max Lucado,,,2012,112,N,POR
375,Nunca desista dos seus sonhos,,Augusto Cury,Sextante,,2004,160,N,POR
376,Não volte para casa do mesmo jeito,,Josué Gonçalves,,,,127,N,POR
377,A família que Deus sonhou ,A solução de Deus pafra as crises familiares,Josué Gonçalves,Mensagem para Todos,,,104,N,POR
378,"Jesus, o maior psicólogo que já existiu",,Mark W. Baker,Sextante,,,192,S,POR
379,A maravilhosa Graça de Deus,,Silas Malafaia,Editora Central Gospel,,,59,S,POR
380,O poder da oração transformadora,7 Orações que vão mudar sua vida,Stormie Omartian,Mundo Cristão,,,125,S,POR
381,Um exemplo de fé a ser seguido,,Silas Malafaia,Editora Central Gospel,,,59,S,POR
382,O mundo jaz no maligno,,Walter Nather Jr,Willem Books,2,,206,S,POR
383,Por que os homens amam as mulheres poderosas,,Sherry Argov,Sextante,,,190,N,POR
384,"1889 – Como Um Imperador Cansado, Um Marechal Vaidoso e Um Professor Injustiçado",,Laurentino Gomes,,,2014,416,N,POR
385,Bom dia!,Leituras diárias com Stormie Omartian,,,,2012,384,N,POR
386,Compreendendo a Unção,,Kenneth E. Hagin,,,2007,208,N,POR
387,Uma nova Unção,Você É uma Cisterna Vazia Ou uma Represa Cheia?,Kenneth E. Hagin,Graça Editorial,1,2004,140,S,POR
388,Línguas: Depois do Dia de Pentecostes,,Kenneth E. Hagin,,,,307,S,POR
389,O Espírito dentro de nós e o Espírito sobre nós,,Kenneth E. Hagin,,,,177,S,POR
390,O Homem mais inteligente da História,,Augusto Cury,Sextante,,,272,N,POR
391,O livro de Ouro dos Mistérios da Antiguidade,Os maiores enigmas da História da Humanidade,,Ediouro,2,,559,N,POR
392,O Melhor Desta Terra,Volume 6,Bud Wright,Rhema Brasil Publicações,,,66,S,POR
393,"Pais Brilhantes, Professores Fascinantes ",,Augusto Cury,Sextante,,,176,N,POR
394,Conversa franca sobre solidão,,Joyce Meyer,,,,135,S,POR
395,Não fale negativo,volume 2,Bud Wright,Rhema Brasil publicações,,,70,S,POR
396,Ha ha ha uma vida de alegria,volume 3,Bud Wright,Rhema Brasil publicações,,,62,S,POR
397,"Oh, happy day",volume 4,Bud Wright,Rhema Brasil publicações,,,68,S,POR
398,Oração eficaz,volume 7,Bud Wright,Rhema Brasil publicações,,,55,S,POR
399,A Viagem do Descobrimento,Um Olhar Sobre A Expedição de Cabral - Col. Brasilis,Eduardo Bueno,,1,2016,128,N,POR
400,Você é insubstituível,,Augusto Cury,,,,112,S,POR
401,Super Alimentos,,,,,,,S,POR
402,Sete passos vitais para receber o Espirito Santo,,Kenneth E. Hagin,Graça Editorial,1,2002,48,S,POR
403,O Deus de todos os momentos,,Silas Malafaia,Editora Central Gospel,,2003,64,S,POR
404,O Poder dos 10 Mandamentos,O roteiro bíblico para uma vida melhor,William Douglas,Mundo Cristão,1,2013,204,N,POR
405,Beleza em vez de cinzas,,Joyce Meyer,,,,266,N,POR
406,Um melhor concerto,,Kenneth E. Hagin,Graça Editorial,,2008,54,S,POR
407,A imposição de mãos,,Kenneth E. Hagin,Graça Editorial,,2012,58,S,POR
408,Os dons e os chamados de Deus,,Kenneth E. Hagin,Graça Editorial,,2008,47,S,POR
409,Fui ao inferno,,Kenneth E. Hagin,Graça Editorial,,2013,50,S,POR
410,Princípios absolutos para a vida de um músico cristão,,Daniel Souza,Frutos do Espírito,,2013,70,S,POR
411,Sete passos para julgar a profecia,,Kenneth E. Hagin,Graça Editorial,2,2013,48,S,POR
412,Cinco impedimentos ao crescimento na Graça,,Kenneth E. Hagin,Rhema Brasil Publicações,2,2017,35,S,POR
413,Guia para o jejum equilibrado,,Kenneth E. Hagin,Graça Editorial,3,2013,56,S,POR
414,El Shaddai,O Deus mais que suficiente,Kenneth E. Hagin,Graça Editorial,1,2011,56,S,POR
415,A Revelação de Paulo: O Evangelho da Reconciliação,,Kenneth E. Hagin,Rhema Brasil Publicações,,,43,S,POR
416,Como ser um sucesso na vida,,Kenneth W. Hagin,Graça Editorial,,,52,S,POR
417,Sinais dos Tempos,,Kenneth E. Hagin,Graça Editorial,,,50,S,POR
418,O dom da profecia,,Kenneth E. Hagin,Graça Editorial,2,2010,47,S,POR
419,Pedras Preciosas do Grego 1 - Verão,,Rick Renner,Rhema Brasil Publicações,,,346,N,POR
420,Pedras Preciosas do Grego 1 - Outono,,Rick Renner,Rhema Brasil Publicações,,,636,N,POR
421,Pedras Preciosas do Grego 1 - Primavera,,Rick Renner,Rhema Brasil Publicações,,,639,N,POR
422,Pedras Preciosas do Grego 1 - Inverno,,Rick Renner,Rhema Brasil Publicações,,,496,N,POR
423,Ushuaia,,Simon Potter,Rhema Brasil Publicações,,,109,S,POR
424,O sistema da verdade de Paulo,A vida e os ensinamentos do apóstolo Paulo,Mark hankins,Rhema Brasil Publicações,,,207,S,POR
